Grouped by Inferred Type:
Inferred Type: "int", Count: 122
Inferred Type: "bool", Count: 102
Inferred Type: "list[str]", Count: 96
Inferred Type: "Logger", Count: 68
Inferred Type: "_PartialWrapper", Count: 65
Inferred Type: "QConfig", Count: 56
Inferred Type: "Tensor", Count: 42
Inferred Type: "DTypeConfig", Count: 42
Inferred Type: "str", Count: 37
Inferred Type: "None", Count: 31
Inferred Type: "Any", Count: 28
Inferred Type: "dict[Unknown, Unknown]", Count: 28
Inferred Type: "list[Unknown]", Count: 22
Inferred Type: "Parameter", Count: 18
Inferred Type: "float", Count: 18
Inferred Type: "Unknown | None", Count: 18
Inferred Type: "Unknown", Count: 13
Inferred Type: "set[str]", Count: 13
Inferred Type: "ContextProp", Count: 13
Inferred Type: "dtype", Count: 12
Inferred Type: "set[Unknown]", Count: 11
Inferred Type: "_OpNamespace", Count: 11
Inferred Type: "list[DTypeConfig]", Count: 9
Inferred Type: "Linear", Count: 8
Inferred Type: "dict[str, str]", Count: 8
Inferred Type: "(...) -> Unknown", Count: 7
Inferred Type: "property", Count: 7
Inferred Type: "dict[Unknown, str]", Count: 7
Inferred Type: "Dropout", Count: 7
Inferred Type: "FloatFunctional", Count: 5
Inferred Type: "_FP32Precision", Count: 5
Inferred Type: "dict[str, Unknown]", Count: 5
Inferred Type: "SymNumberMemoDescriptor", Count: 5
Inferred Type: "LayerNorm", Count: 5
Inferred Type: "DTypeWithConstraints", Count: 4
Inferred Type: "tuple[Unknown, ...]", Count: 4
Inferred Type: "ProcessGroup", Count: 4
Inferred Type: "list[int]", Count: 4
Inferred Type: "FileSystem", Count: 4
Inferred Type: "Graph", Count: 4
Inferred Type: "ConstraintRegistry", Count: 4
Inferred Type: "ModuleList", Count: 3
Inferred Type: "Sigmoid", Count: 3
Inferred Type: "DeQuantStub", Count: 3
Inferred Type: "list[Any]", Count: 3
Inferred Type: "qscheme", Count: 3
Inferred Type: "classmethod[Unknown, (**kwargs: Unknown), _PartialWrapper]", Count: 3
Inferred Type: "product[tuple[bool, Overload[(input: Number | Tensor | complex, other: Number | Tensor | complex, *, alpha: Number | complex | None = 1, out: Tensor | None = None) -> Tensor, (self: Tensor, alpha: Number | complex, other: Tensor) -> Tensor, (self: Tensor, alpha: Number | complex, other: Tensor, *, out: Tensor) -> Tensor] | ((a: Any, b: Any, /) -> Any)]]", Count: 3
Inferred Type: "ArgumentParser", Count: 3
Inferred Type: "Namespace", Count: 3
Inferred Type: "Stream", Count: 3
Inferred Type: "str | PathLike[Unknown]", Count: 3
Inferred Type: "dict[int, str]", Count: 3
Inferred Type: "list[Node]", Count: 3
Inferred Type: "count[int]", Count: 3
Inferred Type: "MultiheadAttention", Count: 3
Inferred Type: "(tensor: Tensor, gain: float = 1, generator: Generator | None = None) -> Tensor", Count: 3
Inferred Type: "list[Tensor | Unknown]", Count: 3
Inferred Type: "OpOverloadPacket[..., Any]", Count: 2
Inferred Type: "Identity", Count: 2
Inferred Type: "QuantStub", Count: 2
Inferred Type: "dict[str, list[str]]", Count: 2
Inferred Type: "Module", Count: 2
Inferred Type: "PyTorchFileWriter", Count: 2
Inferred Type: "set[Unknown | OpOverload[..., Any]]", Count: 2
Inferred Type: "() -> bool", Count: 2
Inferred Type: "ProfilerState", Count: 2
Inferred Type: "cuFFTPlanCacheAttrContextProp", Count: 2
Inferred Type: "ImportError", Count: 2
Inferred Type: "_reduce_op", Count: 2
Inferred Type: "partial[_GeneratorContextManager[None, None, None]]", Count: 2
Inferred Type: "RendezvousHandlerRegistry", Count: 2
Inferred Type: "dict[int, int]", Count: 2
Inferred Type: "(self: Unknown, ...) -> Any", Count: 2
Inferred Type: "tuple[Placement | Replicate]", Count: 2
Inferred Type: "tuple[Placement | Shard]", Count: 2
Inferred Type: "tuple[Placement] | tuple[Placement | None] | None", Count: 2
Inferred Type: "dict[str, Placement]", Count: 2
Inferred Type: "tuple[Placement]", Count: 2
Inferred Type: "Size", Count: 2
