Grouped by Parameter and Type:
Parameter: "input", Type: "Tensor", Count: 990
Parameter: "out", Type: "Tensor | None", Count: 370
Parameter: "g", Type: "GraphContext", Count: 246
Parameter: "other", Type: "Tensor", Count: 192
Parameter: "device", Type: "str | device | int | None", Count: 121
Parameter: "device", Type: "device | str | int | None", Count: 94
Parameter: "tensor", Type: "Tensor", Count: 63
Parameter: "index", Type: "Tensor", Count: 63
Parameter: "weight", Type: "Tensor", Count: 53
Parameter: "module", Type: "Module", Count: 51
Parameter: "generator", Type: "Generator | None", Count: 50
Parameter: "bias", Type: "Tensor | None", Count: 47
Parameter: "x", Type: "Tensor", Count: 46
Parameter: "node", Type: "Node", Count: 45
Parameter: "target", Type: "Tensor", Count: 42
Parameter: "weight", Type: "Tensor | None", Count: 39
Parameter: "model", Type: "GraphModule", Count: 36
Parameter: "self", Type: "Tensor", Count: 35
Parameter: "groups", Type: "int | SymInt", Count: 33
Parameter: "out", Type: "Tensor | tuple[Tensor, ...] | list[Tensor] | None", Count: 32
Parameter: "other", Type: "Tensor | int | float | bool | complex", Count: 31
Parameter: "device", Type: "device | None", Count: 31
Parameter: "gm", Type: "GraphModule", Count: 31
Parameter: "group", Type: "ProcessGroup | None", Count: 30
Parameter: "src", Type: "Tensor", Count: 29
Parameter: "model", Type: "Module", Count: 29
Parameter: "mat2", Type: "Tensor", Count: 25
Parameter: "path", Type: "str | PathLike[Unknown]", Count: 25
Parameter: "tracer", Type: "PythonKeyTracer | _GraphAppendingTracerEx", Count: 24
Parameter: "value", Type: "Tensor", Count: 22
Parameter: "y", Type: "Tensor", Count: 22
Parameter: "graph", Type: "Graph", Count: 22
Parameter: "size", Type: "int | SymInt", Count: 21
Parameter: "source", Type: "Tensor", Count: 20
Parameter: "optimizer", Type: "Optimizer", Count: 19
Parameter: "hx", Type: "Tensor", Count: 19
Parameter: "n", Type: "Node", Count: 18
Parameter: "stride", Type: "int | SymInt | Sequence[int | SymInt]", Count: 18
Parameter: "dilation", Type: "int | SymInt | Sequence[int | SymInt]", Count: 18
Parameter: "mod", Type: "Module", Count: 18
Parameter: "indices", Type: "Tensor", Count: 17
Parameter: "device", Type: "device", Count: 15
Parameter: "batch1", Type: "Tensor", Count: 15
Parameter: "batch2", Type: "Tensor", Count: 15
Parameter: "vec", Type: "Tensor", Count: 15
Parameter: "input2", Type: "Tensor", Count: 15
Parameter: "out", Type: "Tensor", Count: 15
Parameter: "batch_sizes", Type: "Tensor | None", Count: 15
Parameter: "lr", Type: "float | Tensor", Count: 15
Parameter: "mat1", Type: "Tensor", Count: 14
Parameter: "device_mesh", Type: "DeviceMesh | None", Count: 14
Parameter: "other", Type: "Tensor | int", Count: 13
Parameter: "mask", Type: "Tensor", Count: 13
Parameter: "t", Type: "Tensor", Count: 12
