Base Class: "torch.nn.modules.module.Module", Count: 117
Base Class: "torch.ao.nn.intrinsic.modules.fused._FusedModule", Count: 23
Base Class: "torch.distributions.distribution.Distribution", Count: 22
Base Class: "torch.utils.data.datapipes.datapipe.IterDataPipe", Count: 22
Base Class: "torch._tensor.Tensor", Count: 21
Base Class: "torch.distributions.constraints.Constraint", Count: 21
Base Class: "torch.storage._LegacyStorage", Count: 18
Base Class: "torch.distributions.transforms.Transform", Count: 18
Base Class: "torch.nn.modules.loss._Loss", Count: 17
Base Class: "torch.optim.lr_scheduler.LRScheduler", Count: 16
Base Class: "torch.optim.optimizer.Optimizer", Count: 15
Base Class: "torch.ao.quantization.fx.quantize_handler.QuantizeHandler", Count: 13
Base Class: "torch.cuda._CudaLegacyStorage", Count: 12
Base Class: "torch.distributions.transformed_distribution.TransformedDistribution", Count: 11
Base Class: "torch.distributions.exp_family.ExponentialFamily", Count: 9
Base Class: "torch.jit._script.ScriptModule", Count: 9
Base Class: "torch.utils.data.datapipes.dataframe.dataframes.Capture", Count: 9
Base Class: "torch.nn.modules.batchnorm._BatchNorm", Count: 8
Base Class: "torch.nn.modules.conv._ConvNd", Count: 7
Base Class: "torch.fx.interpreter.Interpreter", Count: 7
Base Class: "torch.nn.utils.prune.BasePruningMethod", Count: 7
Base Class: "torch.nn.modules.instancenorm._InstanceNorm", Count: 6
Base Class: "torch.nn.modules.dropout._DropoutNd", Count: 6
Base Class: "torch.ao.quantization.observer.ObserverBase", Count: 6
Base Class: "torch.nn.modules.batchnorm._LazyNormBase", Count: 6
Base Class: "torch.nn.modules.conv._LazyConvXdMixin", Count: 6
Base Class: "torch.utils.data.datapipes.datapipe.DFIterDataPipe", Count: 6
Base Class: "torch.utils._contextlib._DecoratorContextManager", Count: 5
Base Class: "torch.nn.modules.linear.Linear", Count: 5
Base Class: "torch.fx._symbolic_trace.Tracer", Count: 5
Base Class: "torch._C._distributed_c10d.Backend", Count: 5
Base Class: "torch.nn.modules.loss._WeightedLoss", Count: 5
Base Class: "torch.utils.benchmark.utils.fuzzer.Fuzzer", Count: 5
Base Class: "torch.utils.data.dataset.Dataset", Count: 5
Base Class: "torch.utils.data.datapipes.datapipe.MapDataPipe", Count: 5
Base Class: "torch.nn.modules.conv.Conv1d", Count: 4
Base Class: "torch.nn.modules.conv.Conv2d", Count: 4
Base Class: "torch.nn.modules.conv.Conv3d", Count: 4
Base Class: "torch.ao.nn.quantized.modules.linear.Linear", Count: 4
Base Class: "torch.ao.nn.quantized.modules.conv._ConvNd", Count: 4
Base Class: "torch.ao.nn.quantized.modules.conv.Conv2d", Count: 4
Base Class: "torch.ao.nn.quantized.reference.modules.utils.ReferenceQuantizedModule", Count: 4
Base Class: "torch.ao.nn.quantized.reference.modules.conv._ConvNd", Count: 4
Base Class: "torch.nn.modules.conv._ConvTransposeNd", Count: 4
Base Class: "torch.nn.modules.rnn.RNNCellBase", Count: 4
Base Class: "torch.nn.modules.rnn.RNNBase", Count: 4
Base Class: "torch.fx.graph_module.GraphModule", Count: 4
Base Class: "torch.ao.quantization.quantizer.quantizer.Quantizer", Count: 4
Base Class: "torch.backends.PropModule", Count: 4
Base Class: "torch.distributed.pipelining.schedules.PipelineScheduleMulti", Count: 4
Base Class: "torch.utils._python_dispatch.TorchDispatchMode", Count: 4
Base Class: "torch.nn.modules.batchnorm._NormBase", Count: 3
Base Class: "torch.ao.nn.qat.modules.conv._ConvNd", Count: 3
Base Class: "torch.ao.nn.intrinsic.qat.modules.conv_fused._ConvBnNd", Count: 3
Base Class: "torch.ao.nn.quantized.modules.conv._ConvTransposeNd", Count: 3
Base Class: "torch.ao.nn.quantized.dynamic.modules.rnn.RNNCellBase", Count: 3
Base Class: "torch.ao.nn.quantized.reference.modules.conv._ConvTransposeNd", Count: 3
