Parent: "torch.special", Members with Issues: 56
Parent: "torch.linalg", Members with Issues: 41
Parent: "torch.fft", Members with Issues: 22
Parent: "torch.ao.nn.quantized.modules.conv._ConvNd", Members with Issues: 12
Parent: "torch.utils.data.datapipes.iter.grouping.GrouperIterDataPipe", Members with Issues: 8
Parent: "torch.sparse", Members with Issues: 7
Parent: "torch.utils.mkldnn.MkldnnBatchNorm", Members with Issues: 6
Parent: "torch.nn.parallel.distributed.DistributedDataParallel", Members with Issues: 5
Parent: "torch.utils.benchmark.op_fuzzers.spectral", Members with Issues: 5
Parent: "torch.utils.hipify.hipify_python", Members with Issues: 5
Parent: "torch.ao.quantization.observer.PlaceholderObserver", Members with Issues: 4
Parent: "torch.optim.lr_scheduler.ReduceLROnPlateau", Members with Issues: 4
Parent: "torch.utils.mkldnn._MkldnnConvNd", Members with Issues: 4
Parent: "torch.ao.nn.intrinsic.qat.modules.conv_fused._ConvBnNd", Members with Issues: 3
Parent: "torch.nn.modules.activation.MultiheadAttention", Members with Issues: 3
Parent: "torch.autograd.profiler.profile", Members with Issues: 3
Parent: "torch.fx.experimental.sym_node.SymNode", Members with Issues: 3
Parent: "torch.fx.experimental.unification.multipledispatch.dispatcher.Dispatcher", Members with Issues: 3
Parent: "torch.onnx.symbolic_opset9", Members with Issues: 3
Parent: "torch.utils.data.datapipes.utils.common.StreamWrapper", Members with Issues: 3
Parent: "torch.ao.nn.qat.modules.linear.Linear", Members with Issues: 2
Parent: "torch.ao.nn.intrinsic.qat.modules.linear_fused.LinearBn1d", Members with Issues: 2
Parent: "torch.ao.nn.intrinsic.qat.modules.conv_fused.ConvReLU1d", Members with Issues: 2
Parent: "torch.ao.nn.qat.modules.conv._ConvNd", Members with Issues: 2
Parent: "torch.ao.nn.intrinsic.qat.modules.conv_fused.ConvReLU2d", Members with Issues: 2
Parent: "torch.ao.nn.intrinsic.qat.modules.conv_fused.ConvReLU3d", Members with Issues: 2
Parent: "torch.ao.nn.qat.modules.embedding_ops.Embedding", Members with Issues: 2
Parent: "torch.ao.nn.qat.modules.embedding_ops.EmbeddingBag", Members with Issues: 2
Parent: "torch.ao.quantization.qconfig.QConfig.QConfig", Members with Issues: 2
Parent: "torch.ao.pruning.sparsifier.base_sparsifier.BaseSparsifier", Members with Issues: 2
Parent: "torch.ao.quantization.qconfig.QConfigDynamic.QConfigDynamic", Members with Issues: 2
Parent: "torch.fx.passes.infra.pass_base.PassResult.PassResult", Members with Issues: 2
Parent: "torch.cuda.graphs.graph", Members with Issues: 2
Parent: "torch.nn.modules.module._IncompatibleKeys.IncompatibleKeys", Members with Issues: 2
Parent: "torch.distributed.elastic.rendezvous.etcd_store.EtcdStore", Members with Issues: 2
Parent: "torch.utils._sympy.value_ranges.ValueRanges", Members with Issues: 2
